,persona,nosaukums,domid,url,urlattels
0,Rūdolfs Blaumanis,Rūdolfs Blaumanis,1690,https://dom.lndb.lv/data/obj/1690,https://dom.lndb.lv/data/obj/1690.png
1,Jānis Asars,Jānis Asars,5742,https://dom.lndb.lv/data/obj/5742,https://dom.lndb.lv/data/obj/5742.png
2,Jānis Asars,Jānis Asars,5743,https://dom.lndb.lv/data/obj/5743,https://dom.lndb.lv/data/obj/5743.png
3,Jānis Akuraters,Jānis Akuraters,5744,https://dom.lndb.lv/data/obj/5744,https://dom.lndb.lv/data/obj/5744.png
4,Jānis Akuraters,Jānis Akuraters,5745,https://dom.lndb.lv/data/obj/5745,https://dom.lndb.lv/data/obj/5745.png
5,Jānis Poruks,Jānis Poruks,5792,https://dom.lndb.lv/data/obj/5792,https://dom.lndb.lv/data/obj/5792.png
6,Krišjānis Valdemārs,Krišjānis Valdemārs,5820,https://dom.lndb.lv/data/obj/5820,https://dom.lndb.lv/data/obj/5820.png
7,Krišjānis Valdemārs,Krišjānis Valdemārs,5821,https://dom.lndb.lv/data/obj/5821,https://dom.lndb.lv/data/obj/5821.png
8,Rūdolfs Blaumanis,Rūdolfs Blaumanis,5822,https://dom.lndb.lv/data/obj/5822,https://dom.lndb.lv/data/obj/5822.png
9,Rainis,Rainis,5826,https://dom.lndb.lv/data/obj/5826,https://dom.lndb.lv/data/obj/5826.png
10,Rainis,Rainis,5827,https://dom.lndb.lv/data/obj/5827,https://dom.lndb.lv/data/obj/5827.png
11,Rainis,Rainis,5828,https://dom.lndb.lv/data/obj/5828,https://dom.lndb.lv/data/obj/5828.png
12,Jānis Akuraters,Jānis Akuraters,30031,https://dom.lndb.lv/data/obj/30031,https://dom.lndb.lv/data/obj/30031.png
13,Jānis Akuraters,Jānis Akuraters,30032,https://dom.lndb.lv/data/obj/30032,https://dom.lndb.lv/data/obj/30032.png
14,Jānis Akuraters,Jānis Akuraters,30033,https://dom.lndb.lv/data/obj/30033,https://dom.lndb.lv/data/obj/30033.png
15,Rūdolfs Blaumanis,Rūdolfs Blaumanis,30079,https://dom.lndb.lv/data/obj/30079,https://dom.lndb.lv/data/obj/30079.png
16,Jāzeps Vītols,Jāzeps Vītols,30132,https://dom.lndb.lv/data/obj/30132,https://dom.lndb.lv/data/obj/30132.png
17,Jāzeps Vītols,Jāzeps Vītols,30134,https://dom.lndb.lv/data/obj/30134,https://dom.lndb.lv/data/obj/30134.png
18,Jāzeps Vītols,Jāzeps Vītols,30180,https://dom.lndb.lv/data/obj/30180,https://dom.lndb.lv/data/obj/30180.png
19,Emilis Melngailis,Emilis Melngailis,30218,https://dom.lndb.lv/data/obj/30218,https://dom.lndb.lv/data/obj/30218.png
20,Jānis Poruks,Jānis Poruks,30407,https://dom.lndb.lv/data/obj/30407,https://dom.lndb.lv/data/obj/30407.png
21,Jānis Akuraters,Jānis Akuraters,30460,https://dom.lndb.lv/data/obj/30460,https://dom.lndb.lv/data/obj/30460.png
22,Krišjānis Valdemārs,Krišjānis Valdemārs,30465,https://dom.lndb.lv/data/obj/30465,https://dom.lndb.lv/data/obj/30465.png
